Kind,Name,CountClassDerived,CountDeclMethodAll,CountDeclMethod,CountLine,CountLineCode,CountLineComment,MaxInheritanceTree,RatioCommentToCode,PercentLackOfCohesion
File,"App.java",,,1,159,103,40,,0.39,
File,"App.java",,,1,13,8,4,,0.50,
File,"AppTest.java",,,3,38,20,14,,0.70,
File,"AutomaticReconnectTest.java",,,5,203,140,35,,0.25,
File,"AutomaticReconnectTest.java",,,5,189,142,24,,0.17,
File,"Base64.java",,,13,95,47,15,,0.32,
File,"Base64.java",,,13,97,49,15,,0.31,
File,"BasicSSLTest.java",,,6,403,315,52,,0.17,
File,"BasicSSLTest.java",,,7,426,332,55,,0.17,
File,"BasicTest.java",,,6,207,135,38,,0.28,
File,"BasicTest.java",,,15,554,405,61,,0.15,
File,"BufferedMessage.java",,,3,42,16,20,,1.25,
File,"BufferedMessage.java",,,3,42,16,20,,1.25,
File,"Bug443142Test.java",,,6,108,76,14,,0.18,
File,"ClientComms.java",,,56,976,619,243,,0.39,
File,"ClientComms.java",,,57,919,606,203,,0.33,
File,"ClientIdTest.java",,,6,118,92,10,,0.11,
File,"ClientState.java",,,47,1626,962,491,,0.51,
File,"ClientState.java",,,48,1453,913,383,,0.42,
File,"CommsCallback.java",,,26,536,352,123,,0.35,
File,"CommsCallback.java",,,31,670,427,180,,0.42,
File,"CommsReceiver.java",,,8,233,161,59,,0.37,
File,"CommsReceiver.java",,,8,233,162,58,,0.36,
File,"CommsSender.java",,,8,209,154,37,,0.24,
File,"CommsSender.java",,,8,210,156,37,,0.24,
File,"CommsTokenStore.java",,,15,254,157,61,,0.39,
File,"CommsTokenStore.java",,,15,254,157,61,,0.39,
File,"ConnOpts.java",,,13,365,206,107,,0.52,
File,"ConnectActionListener.java",,,5,200,122,59,,0.48,
File,"ConnectActionListener.java",,,5,263,134,103,,0.77,
File,"ConnectCallback.java",,,0,5,3,0,,0.00,
File,"ConnectionLossTest.java",,,22,471,334,77,,0.23,
File,"ConnectionLossTest.java",,,19,491,364,64,,0.18,
File,"ConnectionLostCallback.java",,,0,5,3,0,,0.00,
File,"ConnectionManipulationProxyServer.java",,,10,232,185,7,,0.04,
File,"ConnectionManipulationProxyServer.java",,,10,232,185,7,,0.04,
File,"ConnectionRecoveredCallback.java",,,0,5,3,0,,0.00,
File,"ConsoleHandler.java",,,3,50,17,27,,1.59,
File,"ConsoleHandler.java",,,3,50,17,27,,1.59,
File,"CountingInputStream.java",,,4,59,24,29,,1.21,
File,"CountingInputStream.java",,,4,58,24,27,,1.13,
