Kind,Name,CountLine,CountLineCode,CountLineComment,CountDeclMethodAll,CountDeclMethod,CountClassDerived,RatioCommentToCode,PercentLackOfCohesion,MaxInheritanceTree
File,AbsoluteCrossoverScalingControl.java,52,23,23,,1,,1,,
File,AbstractCTreeTest.java,690,551,49,,69,,0.09,,
File,AbstractEdgeShapeFunction.java,32,12,16,,1,,1.33,,
File,AbstractElementParser.java,62,37,14,,6,,0.38,,
File,AbstractGraphMousePlugin.java,69,27,30,,6,,1.11,,
File,AbstractIterativeLayoutAlgorithm.java,54,29,18,,3,,0.62,,
File,AbstractIterativeScorer.java,310,123,148,,27,,1.2,,
File,AbstractIterativeScorerWithPriors.java,110,41,60,,6,,1.46,,
File,AbstractLayoutModel.java,362,253,65,,31,,0.26,,
File,AbstractLensSupport.java,163,98,40,,18,,0.41,,
File,AbstractMetadata.java,40,18,14,,4,,0.78,,
File,AbstractModalGraphMouse.java,266,167,78,,20,,0.47,,
File,AbstractNodeShapeFunction.java,45,27,12,,4,,0.44,,
File,AbstractParserTest.java,73,52,10,,3,,0.19,,
File,AbstractPickedState.java,42,21,15,,3,,0.71,,
File,AbstractPopupGraphMousePlugin.java,47,28,9,,8,,0.32,,
File,AbstractSpatial.java,103,75,13,,6,,0.17,,
File,AbstractSplitter.java,163,114,38,,2,,0.33,,
File,AddNodeDemo.java,201,136,25,,5,,0.18,,
File,AffineTransformer.java,266,175,54,,20,,0.31,,
File,AggregateLayoutModel.java,257,167,57,,29,,0.34,,
File,AnimatedPickingGraphMousePlugin.java,147,91,42,,10,,0.46,,
File,AnimationLayoutAlgorithm.java,73,56,8,,4,,0.14,,
File,Animator.java,71,43,14,,7,,0.33,,
File,AnnotatingGraphMousePlugin.java,248,154,58,,19,,0.38,,
File,AnnotatingModalGraphMouse.java,260,202,39,,16,,0.19,,
File,Annotation.java,81,51,25,,13,,0.49,,
File,AnnotationControls.java,127,100,14,,10,,0.14,,
File,AnnotationManager.java,154,119,16,,9,,0.13,,
File,AnnotationPaintable.java,132,103,16,,7,,0.16,,
File,AnnotationRenderer.java,173,70,83,,13,,1.19,,
File,AnnotationsDemo.java,156,111,21,,2,,0.19,,
File,ArrowFactory.java,59,21,35,,2,,1.67,,
File,BFSDistanceLabeler.java,180,94,67,,11,,0.71,,
File,BalloonLayoutAlgorithm.java,156,110,25,,10,,0.23,,
File,BalloonLayoutDemo.java,309,237,19,,6,,0.08,,
File,BarabasiAlbertGenerator.java,223,119,81,,9,,0.68,,
File,BarnesHutQuadTree.java,96,50,32,,9,,0.64,,
File,BarnesHutQuadTreeTests.java,69,50,11,,3,,0.22,,
File,BarnesHutVisualizer.java,194,169,6,,11,,0.04,,
File,BarycenterScorer.java,51,16,31,,3,,1.94,,
File,BaseTree.java,40,8,27,,4,,3.38,,
File,BaseVisualizationModel.java,243,178,32,,24,,0.18,,
File,BasicEdgeArrowRenderingSupport.java,197,137,48,,8,,0.35,,
File,BasicEdgeLabelRenderer.java,145,116,10,,2,,0.09,,
File,BasicEdgeRenderer.java,280,215,31,,5,,0.14,,
File,BasicNodeLabelRenderer.java,239,195,19,,9,,0.1,,
File,BasicNodeRenderer.java,124,85,28,,4,,0.33,,
File,BasicRenderer.java,178,127,28,,14,,0.22,,
File,BasicTransformer.java,220,171,10,,33,,0.06,,
File,BasicVisualizationServer.java,650,464,84,,54,,0.18,,
File,BasicVisualizationServerTest.java,26,17,4,,1,,0.24,,
File,BetweennessCentrality.java,335,167,138,,10,,0.83,,
File,BicomponentClusterer.java,146,73,66,,3,,0.9,,
File,BidirectionalTransformer.java,42,8,27,,4,,3.38,,
File,Bounded.java,18,5,10,,1,,2,,
File,BoundedList.java,16,5,8,,1,,1.6,,
File,BoundedMap.java,14,6,3,,2,,0.5,,
File,BoundingRectangleCollector.java,308,243,19,,23,,0.08,,
File,BoundingRectanglePaintable.java,56,48,0,,4,,0,,
File,CTree.java,26,8,14,,2,,1.75,,
File,CTreeEquivalenceTest.java,77,44,16,,4,,0.36,,
File,CTreeMutationTest.java,240,163,50,,8,,0.31,,
File,CTreeNetwork.java,34,12,17,,4,,1.42,,
File,CTreeTest.java,82,60,13,,5,,0.22,,
File,Caching.java,20,4,15,,1,,3.75,,
File,Caching.java,20,4,15,,1,,3.75,,
File,CenterEdgeArrowRenderingSupport.java,157,114,35,,6,,0.31,,
File,ChangeEvent.java,18,10,4,,2,,0.4,,
File,ChangeEventSupport.java,40,8,25,,4,,3.13,,
File,Checkmark.java,67,53,6,,5,,0.11,,
File,Circle.java,54,40,7,,4,,0.17,,
File,CircleLayoutAlgorithm.java,101,52,35,,5,,0.67,,
File,ClosenessCentrality.java,54,16,33,,3,,2.06,,
File,ClusteringDemo.java,298,225,28,,8,,0.12,,
File,Context.java,42,24,12,,4,,0.5,,
File,ControlHelpers.java,57,44,1,,3,,0.02,,
File,CrossoverScalingControl.java,77,38,30,,3,,0.79,,
File,CubicCurveEdgeEffects.java,127,102,4,,13,,0.04,,
File,DAGLayoutAlgorithm.java,312,172,104,,11,,0.6,,
File,DataElementParser.java,90,58,18,,2,,0.31,,
File,DataMetadata.java,39,17,15,,4,,0.88,,
File,DefaultChangeEventSupport.java,72,32,30,,5,,0.94,,
File,DefaultEdgeLabelRenderer.java,208,93,93,,16,,1,,
File,DefaultLayoutModelChangeSupport.java,65,44,9,,6,,0.2,,
File,DefaultLayoutStateChangeSupport.java,62,45,7,,6,,0.16,,
File,DefaultModalGraphMouse.java,98,54,34,,6,,0.63,,
File,DefaultNodeLabelRenderer.java,190,81,89,,13,,1.1,,
File,DegreeScorer.java,50,16,29,,3,,1.81,,
File,DelegateCTree.java,258,215,18,,25,,0.08,,
File,DelegateCTreeNetwork.java,316,271,9,,36,,0.03,,
File,DelegateToEdgeTransformer.java,39,11,24,,2,,2.18,,
File,DijkstraDistance.java,454,211,208,,20,,0.99,,
File,DijkstraShortestPath.java,264,127,108,,14,,0.85,,
File,Distance.java,41,6,32,,2,,5.33,,
File,DistanceCentralityScorer.java,266,124,120,,9,,0.97,,
File,DistanceStatistics.java,149,44,100,,5,,2.27,,
File,DrawnIconNodeDemo.java,138,98,18,,6,,0.18,,
