Kind,Name,CountLineComment,CountLineCode,RatioCommentToCode,PercentLackOfCohesion,CountDeclMethodAll,CountDeclMethod,MaxInheritanceTree,CountLine,CountClassDerived
File,AbstractAnnotations.java,34,6,5.67,,,2,,46,
File,AbstractCapabilities.java,19,141,0.13,,,11,,189,
File,AbstractDriverOptions.java,16,39,0.41,,,5,,66,
File,AbstractFindByBuilder.java,18,80,0.23,,,7,,122,
File,AbstractHttpCommandCodec.java,38,327,0.12,,,17,,419,
File,AbstractHttpResponseCodec.java,35,90,0.39,,,4,,142,
File,AbstractWebDriverEventListener.java,47,88,0.53,,,27,,166,
File,AcceptAlert.java,16,16,1,,,3,,37,
File,AcceptedW3CCapabilityKeys.java,16,25,0.64,,,1,,47,
File,Action.java,20,4,5,,,1,,27,
File,Actions.java,232,332,0.7,,,40,,646,
File,ActionsTest.java,21,167,0.13,,,9,,227,
File,ActiveSession.java,19,15,1.27,,,6,,44,
File,ActiveSessionCommandExecutor.java,19,34,0.56,,,2,,65,
File,ActiveSessionFactory.java,23,134,0.17,,,9,,185,
File,ActiveSessionFactoryTest.java,16,73,0.22,,,10,,110,
File,ActiveSessionListener.java,16,6,2.67,,,2,,25,
File,ActiveSessions.java,19,88,0.22,,,12,,126,
File,ActiveSessionsTest.java,16,35,0.46,,,3,,65,
File,ActiveTestSessions.java,20,101,0.2,,,7,,142,
File,ActiveTestSessionsTest.java,17,72,0.24,,,8,,107,
File,AddApplicationCache.java,16,25,0.64,,,2,,49,
File,AddCookie.java,16,62,0.26,,,6,,94,
File,AddLocationContext.java,16,25,0.64,,,2,,48,
File,AddLocationStrategy.java,16,21,0.76,,,2,,45,
File,AddNetworkConnection.java,16,25,0.64,,,2,,47,
File,AddNode.java,16,39,0.41,,,2,,64,
File,AddRotatable.java,16,38,0.42,,,2,,61,
File,AddSelection.java,16,19,0.84,,,2,,42,
File,AddToSessionMap.java,16,24,0.67,,,2,,51,
File,AddWebStorage.java,16,25,0.64,,,2,,47,
File,AddingNodesTest.java,22,179,0.12,,,13,,236,
